selector_max_inner_origins,direction,seed,horizon,relative_origin,transition_order,transition_window,transition_smoothness,transition_window_post_fraction,start_order,start_window,start_smoothness,start_window_post_fraction,target_order,target_window,target_smoothness,target_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
5,low_to_high,0,1,-60,2,72,0.9994532046825092,0.0,2,72,0.9994532046825092,0.0,1,48,0.7913387351644955,0.0,0.2081144695180137,0.0,0.0,0.0
5,low_to_high,0,1,-57,1,48,0.8093349425936662,0.0,1,48,0.8093349425936662,0.0,1,72,3.0459958161388936e-08,0.0,0.8093349121337081,1.0,0.0,0.0
5,low_to_high,0,1,-54,1,72,3.0459958161388936e-08,0.0,1,72,3.0459958161388936e-08,0.0,2,72,9.13798623055787e-08,0.0,6.091990414418976e-08,0.0,1.0,0.0
5,low_to_high,0,1,-51,2,72,1.00000035924574,0.0,2,72,1.00000035924574,0.0,1,72,3.0459958161388936e-08,0.0,1.000000328785782,0.0,1.0,0.0
5,low_to_high,0,1,-48,2,48,0.9999990215052298,0.0,2,48,0.9999990215052298,0.0,2,72,0.8293550160222383,0.0,0.17064400548299152,1.0,0.0,0.0
5,low_to_high,0,1,-45,2,48,0.9999997922011691,0.0,2,48,0.9999997922011691,0.0,3,72,0.999996697296921,0.0,3.094904248102104e-06,0.0,0.0,0.0
5,low_to_high,0,1,-42,2,48,0.9999997845354986,0.0,2,48,0.9999997845354986,0.0,2,24,0.8640935901604121,0.0,0.13590619437508655,1.0,0.0,0.0
5,low_to_high,0,1,-39,2,72,0.9999986914321985,0.0,2,72,0.9999986914321985,0.0,2,48,0.8871106808721967,0.0,0.11288801056000186,1.0,0.0,0.0
5,low_to_high,0,1,-36,2,72,0.9999973225556567,0.0,2,72,0.9999973225556567,0.0,2,48,0.9913537986396068,0.0,0.008643523916049833,1.0,0.0,0.0
5,low_to_high,0,1,-33,3,48,0.9999969638881969,0.0,3,48,0.9999969638881969,0.0,3,48,0.8786062715757371,0.0,0.1213906923124598,1.0,1.0,1.0
5,low_to_high,0,1,-30,2,72,0.9999977518128592,0.0,2,72,0.9999977518128592,0.0,3,48,0.9990548745860378,0.0,0.0009428772268214036,0.0,0.0,0.0
5,low_to_high,0,1,-27,2,72,0.9999975064950021,0.0,2,72,0.9999975064950021,0.0,3,72,0.9999987523564559,0.0,1.2458614537802504e-06,0.0,1.0,0.0
