selector_max_inner_origins,direction,seed,horizon,relative_origin,transition_order,transition_window,transition_smoothness,transition_window_post_fraction,start_order,start_window,start_smoothness,start_window_post_fraction,target_order,target_window,target_smoothness,target_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
5,low_to_high,0,1,-60,2,72,0.9994532046825091,0.0,2,72,0.9994532046825091,0.0,1,48,0.7913387351644932,0.0,0.20811446951801593,0.0,0.0,0.0
5,low_to_high,0,1,-57,1,48,0.8093349425936731,0.0,1,48,0.8093349425936731,0.0,1,72,3.0459958161388936e-08,0.0,0.809334912133715,1.0,0.0,0.0
5,low_to_high,0,1,-54,1,72,3.0459958161388936e-08,0.0,1,72,3.0459958161388936e-08,0.0,2,72,9.13798623055787e-08,0.0,6.091990414418976e-08,0.0,1.0,0.0
5,low_to_high,0,1,-51,2,72,1.00000035924574,0.0,2,72,1.00000035924574,0.0,1,72,3.0459958161388936e-08,0.0,1.000000328785782,0.0,1.0,0.0
5,low_to_high,0,1,-48,2,48,0.9999990215052298,0.0,2,48,0.9999990215052298,0.0,2,72,0.8293550160222345,0.0,0.1706440054829953,1.0,0.0,0.0
5,low_to_high,0,1,-45,2,48,0.9999997922011691,0.0,2,48,0.9999997922011691,0.0,3,72,0.999996697296921,0.0,3.094904248102104e-06,0.0,0.0,0.0
5,low_to_high,0,1,-42,2,48,0.9999997845354986,0.0,2,48,0.9999997845354986,0.0,2,24,0.8640935901604185,0.0,0.1359061943750801,1.0,0.0,0.0
5,low_to_high,0,1,-39,2,72,0.9999986914321985,0.0,2,72,0.9999986914321985,0.0,2,48,0.8871106808721967,0.0,0.11288801056000186,1.0,0.0,0.0
5,low_to_high,0,1,-36,2,72,0.9999973225556567,0.0,2,72,0.9999973225556567,0.0,2,48,0.9913537986396066,0.0,0.008643523916050055,1.0,0.0,0.0
5,low_to_high,0,1,-33,3,48,0.9999969638881969,0.0,3,48,0.9999969638881969,0.0,3,48,0.8786062715757365,0.0,0.12139069231246047,1.0,1.0,1.0
5,low_to_high,0,1,-30,2,72,0.9999977518128592,0.0,2,72,0.9999977518128592,0.0,3,48,0.9990548745860379,0.0,0.0009428772268212926,0.0,0.0,0.0
5,low_to_high,0,1,-27,2,72,0.9999975064950021,0.0,2,72,0.9999975064950021,0.0,3,72,0.9999987523564559,0.0,1.2458614537802504e-06,0.0,1.0,0.0
5,low_to_high,0,1,-24,2,72,0.9999975273035391,0.0,2,72,0.9999975273035391,0.0,3,24,0.6577874254170462,0.0,0.3422101018864929,0.0,0.0,0.0
5,low_to_high,0,1,-21,3,72,0.7502580035371216,0.0,3,72,0.7502580035371216,0.0,3,72,0.5977733576354481,0.0,0.15248464590167343,1.0,1.0,1.0
5,low_to_high,0,1,-18,1,24,0.8259600494108629,0.0,1,24,0.8259600494108629,0.0,1,24,0.6405543724787935,0.0,0.18540567693206933,1.0,1.0,1.0
5,low_to_high,0,1,-15,1,72,0.2796356784088364,0.0,1,72,0.2796356784088364,0.0,3,24,0.6711909750658389,0.0,0.3915552966570025,0.0,0.0,0.0
